START DATE,END DATE,SUBJECT,LOCATION,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),DESCRIPTION,SHOW TIME AS,CATEGORIES,AWAY,HOME,day
9/5/2012,9/5/2012,NFL Week 1:  Cowboys @ Giants,New Meadowlands Stadium,5:30 PM,6:30 PM,7:30 PM,8:30 PM,8:30 PM,9:30 PM,10:30 PM,11:30 PM,www.MySportsCal.com,FREE,NFL2012,Cowboys ,Gaints,wed
9/9/2012,9/9/2012,NFL Week 1:  Colts @ Bears,Soldier Field,10:00 AM,11:00 AM,12:00 PM,1:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,www.MySportsCal.com,FREE,NFL2012,Colts ,Bears,sun
9/9/2012,9/9/2012,NFL Week 1:  Steelers @ Broncos,Invesco Field at Mile High,5:20 PM,6:20 PM,7:20 PM,8:20 PM,8:20 PM,9:20 PM,10:20 PM,11:20 PM,www.MySportsCal.com,FREE,NFL2012,Steelers ,Broncos,sun
9/9/2012,9/9/2012,NFL Week 1:  Eagles @ Browns,Cleveland Browns Stadium,10:00 AM,11:00 AM,12:00 PM,1:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,www.MySportsCal.com,FREE,NFL2012,Eagles ,Browns,sun
9/9/2012,9/9/2012,NFL Week 1:  Panthers @ Buccaneers,Raymond James Stadium,1:15 PM,2:15 PM,3:15 PM,4:15 PM,4:15 PM,5:15 PM,6:15 PM,7:15 PM,www.MySportsCal.com,FREE,NFL2012,Panthers ,Buccaneers,sun
9/9/2012,9/9/2012,NFL Week 1:  Seahawks @ Cardinals,University of Phoenix Stadium,1:15 PM,2:15 PM,3:15 PM,4:15 PM,4:15 PM,5:15 PM,6:15 PM,7:15 PM,www.MySportsCal.com,FREE,NFL2012,Seahawks ,Cardinals,sun
9/9/2012,9/9/2012,NFL Week 1:  Falcons @ Chiefs,Arrowhead Stadium,10:00 AM,11:00 AM,12:00 PM,1:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,www.MySportsCal.com,FREE,NFL2012,Falcons ,Chiefs,sun
9/9/2012,9/9/2012,NFL Week 1:  Bills @ Jets,New Meadowlands Stadium,10:00 AM,11:00 AM,12:00 PM,1:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,www.MySportsCal.com,FREE,NFL2012,Bills ,Jets,sun
9/9/2012,9/9/2012,NFL Week 1:  Rams @ Lions,Ford Field,10:00 AM,11:00 AM,12:00 PM,1:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,www.MySportsCal.com,FREE,NFL2012,Rams ,Lions,sun
9/9/2012,9/9/2012,NFL Week 1:  49ers @ Packers,Lambeau Field,1:15 PM,2:15 PM,3:15 PM,4:15 PM,4:15 PM,5:15 PM,6:15 PM,7:15 PM,www.MySportsCal.com,FREE,NFL2012,49ers ,Packers,sun
