Week,Day,,VisTm,Pts,,HomeTm,Pts,Time
1,Thu,August 9,Carolina Panthers,28,@,Buffalo Bills,23,7:00 PM
1,Thu,August 9,Chicago Bears,27,@,Cincinnati Bengals,30,7:00 PM
1,Thu,August 9,New Orleans Saints,24,@,Jacksonville Jaguars,20,7:00 PM
1,Thu,August 9,Tampa Bay Buccaneers,26,@,Miami Dolphins,24,7:00 PM
1,Thu,August 9,Cleveland Browns,20,@,New York Giants,10,7:00 PM
1,Thu,August 9,Pittsburgh Steelers,31,@,Philadelphia Eagles,14,7:00 PM
1,Thu,August 9,Washington Redskins,17,@,New England Patriots,26,7:30 PM
1,Thu,August 9,Los Angeles Rams,7,@,Baltimore Ravens,33,7:30 PM
1,Thu,August 9,Tennessee Titans,17,@,Green Bay Packers,31,8:00 PM
1,Thu,August 9,Houston Texans,17,@,Kansas City Chiefs,10,8:30 PM
1,Thu,August 9,Indianapolis Colts,19,@,Seattle Seahawks,17,10:00 PM
1,Thu,August 9,Dallas Cowboys,21,@,San Francisco 49ers,24,10:00 PM
1,Fri,August 10,Atlanta Falcons,0,@,New York Jets,17,7:30 PM
1,Fri,August 10,Detroit Lions,10,@,Oakland Raiders,16,10:30 PM
1,Sat,August 11,Minnesota Vikings,42,@,Denver Broncos,28,9:05 PM
1,Sat,August 11,Los Angeles Chargers,17,@,Arizona Cardinals,24,10:00 PM
2,Thu,August 16,Philadelphia Eagles,20,@,New England Patriots,37,7:30 PM
2,Thu,August 16,Pittsburgh Steelers,34,@,Green Bay Packers,51,8:00 PM
2,Thu,August 16,New York Jets,13,@,Washington Redskins,15,8:00 PM
2,Fri,August 17,New York Giants,30,@,Detroit Lions,17,7:00 PM
2,Fri,August 17,Kansas City Chiefs,28,@,Atlanta Falcons,14,7:05 PM
2,Fri,August 17,Miami Dolphins,20,@,Carolina Panthers,27,7:30 PM
2,Fri,August 17,Buffalo Bills,19,@,Cleveland Browns,17,7:30 PM
2,Fri,August 17,Arizona Cardinals,20,@,New Orleans Saints,15,8:00 PM
2,Sat,August 18,Jacksonville Jaguars,14,@,Minnesota Vikings,10,1:00 PM
2,Sat,August 18,Oakland Raiders,15,@,Los Angeles Rams,19,4:00 PM
2,Sat,August 18,Cincinnati Bengals,21,@,Dallas Cowboys,13,7:00 PM
2,Sat,August 18,San Francisco 49ers,13,@,Houston Texans,16,8:00 PM
2,Sat,August 18,Tampa Bay Buccaneers,30,@,Tennessee Titans,14,8:00 PM
2,Sat,August 18,Chicago Bears,24,@,Denver Broncos,23,9:05 PM
2,Sat,August 18,Seattle Seahawks,14,@,Los Angeles Chargers,24,10:00 PM
2,Mon,August 20,Baltimore Ravens,20,@,Indianapolis Colts,19,8:00 PM
3,Thu,August 23,Philadelphia Eagles,,@,Cleveland Browns,,8:00 PM
3,Fri,August 24,New England Patriots,,@,Carolina Panthers,,7:30 PM
3,Fri,August 24,New York Giants,,@,New York Jets,,7:30 PM
3,Fri,August 24,Denver Broncos,,@,Washington Redskins,,7:30 PM
3,Fri,August 24,Seattle Seahawks,,@,Minnesota Vikings,,8:00 PM
3,Fri,August 24,Detroit Lions,,@,Tampa Bay Buccaneers,,8:00 PM
3,Fri,August 24,Green Bay Packers,,@,Oakland Raiders,,10:30 PM
3,Sat,August 25,Kansas City Chiefs,,@,Chicago Bears,,1:00 PM
3,Sat,August 25,Tennessee Titans,,@,Pittsburgh Steelers,,4:00 PM
3,Sat,August 25,Houston Texans,,@,Los Angeles Rams,,4:00 PM
3,Sat,August 25,San Francisco 49ers,,@,Indianapolis Colts,,4:30 PM
3,Sat,August 25,Atlanta Falcons,,@,Jacksonville Jaguars,,7:00 PM
3,Sat,August 25,Baltimore Ravens,,@,Miami Dolphins,,7:00 PM
3,Sat,August 25,New Orleans Saints,,@,Los Angeles Chargers,,8:00 PM
3,Sun,August 26,Cincinnati Bengals,,@,Buffalo Bills,,4:00 PM
3,Sun,August 26,Arizona Cardinals,,@,Dallas Cowboys,,8:00 PM
4,Thu,August 30,Miami Dolphins,,@,Atlanta Falcons,,7:00 PM
4,Thu,August 30,Indianapolis Colts,,@,Cincinnati Bengals,,7:00 PM
4,Thu,August 30,Cleveland Browns,,@,Detroit Lions,,7:00 PM
4,Thu,August 30,New England Patriots,,@,New York Giants,,7:00 PM
4,Thu,August 30,New York Jets,,@,Philadelphia Eagles,,7:00 PM
4,Thu,August 30,Carolina Panthers,,@,Pittsburgh Steelers,,7:30 PM
4,Thu,August 30,Washington Redskins,,@,Baltimore Ravens,,7:30 PM
4,Thu,August 30,Jacksonville Jaguars,,@,Tampa Bay Buccaneers,,7:30 PM
4,Thu,August 30,Buffalo Bills,,@,Chicago Bears,,8:00 PM
4,Thu,August 30,Dallas Cowboys,,@,Houston Texans,,8:00 PM
4,Thu,August 30,Los Angeles Rams,,@,New Orleans Saints,,8:00 PM
4,Thu,August 30,Minnesota Vikings,,@,Tennessee Titans,,8:00 PM
4,Thu,August 30,Green Bay Packers,,@,Kansas City Chiefs,,8:30 PM
4,Thu,August 30,Denver Broncos,,@,Arizona Cardinals,,10:00 PM
4,Thu,August 30,Oakland Raiders,,@,Seattle Seahawks,,10:00 PM
4,Thu,August 30,Los Angeles Chargers,,@,San Francisco 49ers,,10:00 PM
