Week,Day,,VisTm,Pts,,HomeTm,Pts,Time
1,Thu,August 5,Dallas Cowboys,3,@,Pittsburgh Steelers,16,8:00 PM
1,Thu,August 12,Washington Football Team,13,@,New England Patriots,22,7:30 PM
1,Thu,August 12,Pittsburgh Steelers,24,@,Philadelphia Eagles,16,7:30 PM
1,Fri,August 13,Tennessee Titans,23,@,Atlanta Falcons,3,7:00 PM
1,Fri,August 13,Buffalo Bills,16,@,Detroit Lions,15,7:00 PM
1,Fri,August 13,Dallas Cowboys,16,@,Arizona Cardinals,19,10:00 PM
1,Sat,August 14,Miami Dolphins,13,@,Chicago Bears,20,1:00 PM
1,Sat,August 14,Denver Broncos,33,@,Minnesota Vikings,6,4:00 PM
1,Sat,August 14,Cleveland Browns,23,@,Jacksonville Jaguars,13,7:00 PM
1,Sat,August 14,New Orleans Saints,14,@,Baltimore Ravens,17,7:00 PM
1,Sat,August 14,New York Jets,12,@,New York Giants,7,7:30 PM
1,Sat,August 14,Cincinnati Bengals,19,@,Tampa Bay Buccaneers,14,7:30 PM
1,Sat,August 14,Houston Texans,26,@,Green Bay Packers,7,8:00 PM
1,Sat,August 14,Kansas City Chiefs,19,@,San Francisco 49ers,16,8:30 PM
1,Sat,August 14,Seattle Seahawks,7,@,Las Vegas Raiders,20,9:00 PM
1,Sat,August 14,Los Angeles Chargers,13,@,Los Angeles Rams,6,10:00 PM
1,Sun,August 15,Carolina Panthers,18,@,Indianapolis Colts,21,1:00 PM
2,Thu,August 19,New England Patriots,,@,Philadelphia Eagles,,7:30 PM
2,Fri,August 20,Kansas City Chiefs,,@,Arizona Cardinals,,8:00 PM
2,Fri,August 20,Cincinnati Bengals,,@,Washington Football Team,,8:00 PM
2,Sat,August 21,Buffalo Bills,,@,Chicago Bears,,1:00 PM
2,Sat,August 21,New York Jets,,@,Green Bay Packers,,4:25 PM
2,Sat,August 21,Baltimore Ravens,,@,Carolina Panthers,,7:00 PM
2,Sat,August 21,Atlanta Falcons,,@,Miami Dolphins,,7:00 PM
2,Sat,August 21,Detroit Lions,,@,Pittsburgh Steelers,,7:30 PM
2,Sat,August 21,Tennessee Titans,,@,Tampa Bay Buccaneers,,7:30 PM
2,Sat,August 21,Houston Texans,,@,Dallas Cowboys,,8:00 PM
2,Sat,August 21,Indianapolis Colts,,@,Minnesota Vikings,,8:00 PM
2,Sat,August 21,Las Vegas Raiders,,@,Los Angeles Rams,,10:00 PM
2,Sat,August 21,Denver Broncos,,@,Seattle Seahawks,,10:00 PM
2,Sun,August 22,New York Giants,,@,Cleveland Browns,,1:00 PM
2,Sun,August 22,San Francisco 49ers,,@,Los Angeles Chargers,,7:30 PM
2,Mon,August 23,Jacksonville Jaguars,,@,New Orleans Saints,,8:00 PM
3,Fri,August 27,Indianapolis Colts,,@,Detroit Lions,,7:00 PM
3,Fri,August 27,Pittsburgh Steelers,,@,Carolina Panthers,,7:30 PM
3,Fri,August 27,Philadelphia Eagles,,@,New York Jets,,7:30 PM
3,Fri,August 27,Minnesota Vikings,,@,Kansas City Chiefs,,8:00 PM
3,Sat,August 28,Green Bay Packers,,@,Buffalo Bills,,1:00 PM
3,Sat,August 28,Baltimore Ravens,,@,Washington Football Team,,6:00 PM
3,Sat,August 28,Chicago Bears,,@,Tennessee Titans,,7:00 PM
3,Sat,August 28,Tampa Bay Buccaneers,,@,Houston Texans,,8:00 PM
3,Sat,August 28,Arizona Cardinals,,@,New Orleans Saints,,8:00 PM
3,Sat,August 28,Los Angeles Rams,,@,Denver Broncos,,9:05 PM
3,Sat,August 28,Los Angeles Chargers,,@,Seattle Seahawks,,10:00 PM
3,Sun,August 29,Jacksonville Jaguars,,@,Dallas Cowboys,,1:00 PM
3,Sun,August 29,Miami Dolphins,,@,Cincinnati Bengals,,4:00 PM
3,Sun,August 29,Las Vegas Raiders,,@,San Francisco 49ers,,4:00 PM
3,Sun,August 29,New England Patriots,,@,New York Giants,,6:00 PM
3,Sun,August 29,Cleveland Browns,,@,Atlanta Falcons,,8:00 PM
